observableId	simulationConditionId	time	simulation
A_OD600	c_10_12_i	22.5	0.09895648333375999
B_OD600	c_10_12_i	0.0	0.0006198154194044975
B_OD600	c_10_12_i	11.0	0.013184800490289675
B_OD600	c_10_12_i	22.5	0.16062333191418351
A_OD600	c_10_12_ii	0.0	0.011918260166478322
A_OD600	c_10_12_ii	12.0	0.3460867665637073
A_OD600	c_10_12_ii	23.23	0.34278971687940735
B_OD600	c_10_12_ii	0.0	0.03331640931068347
B_OD600	c_10_12_ii	12.0	0.19650814038468364
B_OD600	c_10_12_ii	23.23	0.2520204640670145
A_OD600	c_10_12_iii	0.0	8.28029975219613e-05
A_OD600	c_10_12_iii	13.270000000000005	0.24429575504340162
A_OD600	c_10_12_iii	24.103	0.34167902239865344
B_OD600	c_10_12_iii	0.0	0.057874463372316054
